timestamp,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
1970-01-14 10:01:13.546041,4195.641,4172.564,4265.641,4230.897,4206.026,4138.846,4110.641,4170.641,4201.538,4145.769,4542.564,4262.564,4369.872,4492.949
1970-01-14 10:01:13.546081,4200.385,4172.051,4268.974,4237.821,4172.821,4137.821,4115.128,4168.974,4200.385,4149.615,4540.256,4261.41,4369.231,4492.436
1970-01-14 10:01:13.546109,4202.179,4169.487,4273.077,4239.487,4155.0,4138.462,4119.103,4169.615,4198.462,4151.923,4536.41,4261.667,4366.154,4489.872
1970-01-14 10:01:13.546135,4201.667,4167.949,4276.795,4236.667,4169.872,4142.564,4121.41,4173.59,4198.205,4153.333,4535.256,4264.359,4364.359,4487.436
1970-01-14 10:01:13.561021,4200.897,4169.744,4278.846,4233.462,4215.769,4148.846,4121.026,4179.231,4200.128,4154.615,4538.718,4267.949,4365.897,4487.179
1970-01-14 10:01:13.561060,4200.256,4173.59,4278.59,4233.205,4268.974,4154.103,4118.462,4183.077,4202.692,4154.615,4543.718,4270.256,4369.231,4489.615
1970-01-14 10:01:13.561087,4199.359,4176.282,4277.051,4235.128,4300.385,4155.641,4115.0,4182.436,4203.846,4151.154,4545.641,4269.872,4371.154,4493.077
1970-01-14 10:01:13.561114,4197.436,4174.487,4274.744,4235.128,4296.923,4152.179,4111.923,4177.308,4201.538,4142.051,4541.923,4266.41,4369.359,4494.744
1970-01-14 10:01:13.579407,4194.231,4167.436,4271.41,4230.256,4268.333,4145.128,4108.59,4170.128,4196.154,4128.974,4533.59,4260.128,4363.974,4491.923
1970-01-14 10:01:13.581911,4191.282,4157.821,4266.923,4221.41,4235.641,4137.564,4104.744,4163.974,4190.513,4117.949,4523.846,4253.205,4357.179,4485.256
1970-01-14 10:01:13.581944,4190.385,4150.769,4263.077,4214.231,4214.872,4133.077,4101.026,4160.769,4187.436,4115.769,4516.41,4249.231,4351.667,4477.821
1970-01-14 10:01:13.594724,4192.949,4149.872,4262.308,4213.59,4212.436,4133.59,4099.615,4161.282,4188.59,4125.385,4514.103,4250.128,4349.872,4474.359
1970-01-14 10:01:13.594770,4198.205,4156.026,4265.897,4220.0,4228.718,4138.718,4102.051,4164.615,4192.564,4142.564,4518.333,4255.256,4352.436,4477.564
1970-01-14 10:01:13.594793,4202.949,4165.256,4271.795,4228.59,4256.41,4146.41,4107.179,4170.0,4196.923,4157.821,4527.436,4261.41,4358.333,4485.769
1970-01-14 10:01:13.594817,4203.846,4171.41,4276.154,4233.077,4278.333,4151.795,4111.923,4174.487,4198.974,4162.692,4536.667,4264.872,4364.615,4493.205
